textOriginal,processed_text,label
Ajib,ajib,0
2 Youtuber berasal dari Kalbar Daerahku..❤,2 youtuber kalbar daerah,0
Konex's sampe bingung mendengarkan ko bobon menjelaskan tentang sate nya😂🤣,konexs sampe bingung dengar ko bobon sate nya,0
"Ga nyesel ikut kata temen,⛲⚛✈♎⛈‍⚕️17 gokil!.",ga nyesel temen17 gokil,0
🙏🙏🙏🙏🙏,,0
"Di coba dulu say di ᆢAᆢᆢLᆢᆢEᆢᆢXᆢᆢIᆢᆢSᆢᆢ1ᆢᆢ7ᆢ,keren dah!.",coba say a l e x i s 1 7 keren dah,0
"Yakin banget sih di █▓▒▒░░░⚡☄⚛⏲⛽✌️17░░░▒▒▓█,terbaik!.",banget sih 17terbaik,0
Serius deh cuman ✝❎☘㊗☎‍♂️17 yang terbaik!.,serius deh cuman 17,0
Bonus di ✌☑0⃣⚡⛽♨⚜17✌ gokil sih!.,bonus 017 gokil sih,0
Tampilan?Fitur lengkap? ✌♎♎♎⛸⚔☘17✌ punya semua,tampilanfitur lengkap 17,0
Kepo dikit ah di ♑㊗⚛⏺♑⛅️17.,kepo dikit ah 17,0
Wah seleai.lebaran warung koh jamal bakalan rame nih yakin gua,seleailebaran warung koh jamal rame nih gua,0
Anjayyy velocity,anjayyy velocity,0
Subscribe cuy!!,subscribe cuy,0
"Pecah layar di buat ̠A͎͎L͎͎E͎͎X͎͎I͎͎S͎͎1͎͎7͎,gokil!.",pecah layar alexis17gokil,1
Salam dari kami keluarga besar pondok pesantren darulmusthofa dari bogor. Sini mampir kalo ke bogor..🙏🙏🙏,salam keluarga pondok pesantren darulmusthofa bogor mampir kalo bogor,0
Sumpah udah banyak yang ngomongin ⬇⛑⁉⛈⛑⚽️17.,sumpah udah ngomongin 17,0
2 orang singkawang berrtemu di satu chaanel nih maantap.,2 orang singkawang berrtemu chaanel nih maantap,0
"Cuman Chanel koh Nex orang mkn gua ketawa dari awal ampe akhir, 😂🤣",cuman chanel koh nex orang mkn gua ketawa ampe,0
"wkwkwk,,,bobon kayanya nyindir si anu..yg ujung2 nya,,minta uang damai..😂",wkwkwkbobon kaya nyindir si anuyg ujung2 nyaminta uang damai,0
Harga segitu sangat worth it untuk rasa asli dari daratan cina.. ini opini ku si tukang makan.. 👍👍,harga segitu worth it asli darat cina opini ku si tukang makan,0
Serius deh cuman ⚜↩♋⚛⏏♍️17 yang terbaik!.,serius deh cuman 17,0
gokssss,gokssss,0
Bobon mokel,bobon mokel,0
dp 25k dapatnya 5jt?? di ♓⏬⚽✨✳⚧17 doang!.,dp 25k 5jt 17 doang,0
Code blue mendadak ngga bisa bahasa indo,code blue dadak ngga bahasa indo,0
Jalanin aja seperti kamu menjalani kebahagiaan di ☦☕♥✌✳⛹️17.,jalanin aja jalan bahagia 17,0
Serius deh cuman ‍⚖⚾❕⚧❕♌️17 yang terbaik!.,serius deh cuman 17,0
Baru ngerti aku kenapa ✌⁉3⃣➗☔4⃣❌17✌ viral.,ngerti 3417 viral,0
"Thanks banget ̠A͎͎L͎͎E͎͎X͎͎I͎͎S͎͎1͎͎7͎,gokil parah!.",thanks banget alexis17gokil parah,1
Sumpah gua makan sampe keselek 😂😂😂,sumpah gua makan sampe keselek,0
Wede di ❌✌4⃣⛪↔⚾17 cepet banget!.,wede 417 cepet banget,0
Salah pertanda akhir jaman banyak orang yang masuk Islam,salah tanda jaman orang masuk islam,0
Yudas iskariot,yudas iskariot,0
Game di ⏸⚡0⃣♓⏏✋17 sih gokil gokil.,game 017 sih gokil gokil,0
lokasi dimana bro,lokasi bro,0
Buset ⚾4⃣♾❤☝#⃣17 ternyata semudah itu yah.,buset 417 nyata mudah yah,0
Cuma di ✌☕❕⚛‍⚕☂☸17✌ sering kasih bonus.,17 kasih bonus,0
Gila sih ✌☔❌✌➡⛸➡17✌ bagi bagi saldo gratis.,gila sih 17 saldo gratis,0
Lanciaw 😂😂😂,lanciaw,0
nice,nice,0
Duuaar sngat seruu..colabnya,duuaar sngat seruucolabnya,0
Di saat km meninggalkan Yesus di situlah km akan di permalukan oleh Tuhan,km tinggal yesus situ km malu tuhan,0
Bonus referal di ♥A♥L♥E♥X♥I♥S♥1♥7♥ gede coyy.,bonus referal alexis17 gede coyy,1
Duet youtuber ga da obat ini,duet youtuber ga da obat,0
⛹‍♂⬇‍⚖⛹⛹⌚️17 gk pelit sama bonus.,17 gk pelit bonus,0
#editornurut hahaha,editornurut hahaha,0
Login ke kristus❤,login kristus,0
Gila sih ⛎♍☎♌4⃣⚛️17 selalu kasih aku menang.,gila sih 417 kasih menang,1
"Terima kasih ✳♎❌✊⚽⚔️17, wede besar di bayar!.",terima kasih 17 wede bayar,0
Optimis banget dah di ᆢAᆢᆢLᆢᆢEᆢᆢXᆢᆢIᆢᆢSᆢᆢ1ᆢᆢ7ᆢ.,optimis banget dah a l e x i s 1 7,0
Udah banyak temen aku bilang ♌♈♋♍⛽♾️17 seru abis!.,udah temen bilang 17 seru abis,0
Nex mmg sgt sesui colab dgn bobon,nex mmg sgt sesui colab dgn bobon,0
Penyesalan selalu belakangan tapi pendaftaran selalu di ⛳✳☀♎↔‼️17.,sesal daftar 17,0
sudah aku bilang ⚧⛲☂➡♎✉️17 itu tetap terbaik!.,bilang 17,0
masa sholat nya kalah sii sama sodara kita,sholat nya kalah sii sodara,0
Gk abis pikir masa gk ada yang kenal sama ♑⛑➗⛎0⃣↔️17.,gk abis pikir gk kenal 017,0
15:26 Mamen lebih panik Bobon Tantrum 😂,1526 mamen panik bobon tantrum,0
Cepet ajak temen kalian diⓂ➡⚛↩♟♍️17bisa dapet saldo cuy.,cepet ajak temen di17bisa dapet saldo cuy,0
"Udah 7 tahun, udah WNI, tapi belum lancar bhs Indonesia 😢",udah 7 udah wni lancar bhs indonesia,0
codeblue jangan boleh masuk ke resto ini.... nanti review nya bikin mati usaha orang bang,codeblue masuk resto review nya bikin mati usaha orang bang,0
Sedih?⛸Ⓜ♌⬅❎⛹‍♂️17 akan membuat bahagia.,sedih17 bahagia,0
Lucu banget sih ❤,lucu banget sih,0
Yukk yang udah jelas cuman di █▓▒▒░░░‍⚖4⃣3⃣♌⁉0⃣17░░░▒▒▓█.,yukk udah cuman 43017,0
Bisa ya sesama china pakai google translate 😂,ya china pakai google translate,0
Jangan lupa ambil promo klean di ✌⛸✳‍♀⏬♋⛹17✌.,lupa ambil promo klean 17,0
Orang Arab Aja banyak yang Murtad kok Di Indonesia LG trending mualaf 😅😅😅,orang arab aja murtad indonesia lg trending mualaf,0
"18:25 : ""tiga bapak2 lucu ""😂😂",1825 bapak2 lucu,0
Buruan join di █▓▒▒░░░♑⚧✔♎☀㊗️17░░░▒▒▓█.,buru join 17,0
Lagi sedihkah kalian? sini sini cerita sama cs ✌2⃣❌‼⚡♑☂17✌ wkwkwkw,sedih cerita cs 217 wkwkwkw,0
"Masya Allah, senang liat Saudara seiman bg bobon makan berdoa angkat tangan ...beda x aura bg bobon setelah muallaf...senang aja liatnya, bersyukur...😊...pernah awal2 kita nonton konten2 bg bobon masih masak2 yg aneh2...terus liat konten yg bagi2 makanan...bantu2 orang2...suami pernah bilang semoga dia masuk Islam katanya..😁...semoga dikasih hidayah ku bilang, ternyata...Alhamdulillah,..❤",masya allah senang liat saudara iman bg bobon makan doa angkat tangan beda x aura bg bobon muallafsenang aja liat bersyukurpernah awal2 nonton konten2 bg bobon masak2 yg aneh2terus liat konten yg bagi2 makananbantu2 orang2suami bilang moga masuk islam katanyasemoga kasih hidayah ku bilang ternyataalhamdulillah,0
sumpah gue suka banget sama next carlos sama bang bobon..,sumpah gue suka banget next carlos bang bobon,0
Tetap yakin di ⏸♓✈♌♟㊗️17.,17,0
Looking yummy food,looking yummy food,0
Pamerin ke anak tongkrongan ah abis wede besar di ♥A♥L♥E♥X♥I♥S♥1♥7♥.,pamerin anak tongkrong ah abis wede alexis17,1
setiap ada peluang pasti bisa dapet di ✨⛑⚽☸⛲‍⚖️17.,peluang dapet 17,0
Gila █▓▒▒░░░♈⏸♌❎⏲▶️17░░░▒▒▓█ viral banget!.,gila 17 viral banget,0
"Semangat untuk pejuang islam , dan semoga menjadi muslim yg sgt beriman bagi muallaf pemula atau yg baru login islam❤❤❤",semangat juang islam moga muslim yg sgt iman muallaf yg login islam,0
masya allah semoga restoran koko laris manis,masya allah moga restoran koko laris manis,0
Jadi ga sabar nunggu kabar dari ♈㊗⛲☸⏬✨17.,ga sabar nunggu kabar 17,0
Ini mah tempat mangkal gua ngojek bang😂,mah mangkal gua ngojek bang,0
mahal tapi mungkin karena bahan2 langsung dari china,mahal bahan2 langsung china,0
Ajib cuy 😌🤤,ajib cuy,0
"Bobon mikir...
Domba?!🤔
Domba yang tersesat...

Si nex nih dombanya.
Gw ajak login ac'h!🤭",bobon mikir domba domba sesat si nex nih domba gw ajak login ach,0
dp kecil wede besar di █▓▒▒░░░⛈⚪⚧❌⁉❌17░░░▒▒▓█.,dp wede 17,0
"Mantap betul! Main di АE𝑅O𝟪𝟴-anti lag, cuan pun anti macet!",mantap main e o anti lag cuan anti macet,1
Skketer di ↔‼↔⛰3⃣❄️17 gokil gokil sih.,skketer 317 gokil gokil sih,0
Mencari platform yang dapat Anda andalkan? 𝐴X𝐿𝟩𝟽7-mungkin solusinya.,cari platform andal x 7mungkin solusi,0
"Modal kecil aja bisa untung besar di 𝐴𝘌𝙍О8𝟾,luar biasa!",modal aja untung 8,1
"Rekomendasi terbaik buat cari keberuntungan, cuma di А𝐄𝑅𝑂𝟪𝟪!",rekomendasi cari untung,1
𝐴𝐸𝙍𝑂𝟾8emang is the best! JP-nya bikin mata terbelalak!,8emang is the best jpnya bikin mata belalak,1
"Malam ini beruntung banget main di A𝘟𝘓𝟽7𝟳,hasilnya luar biasa!",malam untung banget main a 7 hasil,1
𝘼𝐸𝙍𝑂𝟪8menawarkan pendekatan yang unik dan inovatif untuk interaksi daring.,8menawarkan unik inovatif interaksi daring,0
Pertimbangkan untuk menjelajahi 𝐀𝐗𝙇𝟳𝟳7-jika Anda menghargai pertumbuhan pribadi.,timbang jajah 7jika harga tumbuh pribadi,0
"Keren maksimal! Menang banyak di A𝘌Я𝐎𝟾𝟴,auto jadi sultan dadakan!",keren maksimal menang a auto sultan dada,1
"Tidak pernah menyangka sebelumnya bisa mendapatkan rezeki sebanyak ini dari A𝙀𝑅О8𝟪,saatnya berbagi kebahagiaan dengan mentraktir teman-teman terdekat!",sangka rezeki a 8 bahagia traktir temanteman,1
Ngakak sihhh tengkyuu,ngakak sihhh tengkyuu,0
Mau dapet iphone15??di☸⁉♋❕‍♂✈️17lagi bagi bagi hp,dapet iphone15di17lagi hp,0
Hadiah berlipat ganda cuman di ↔9⃣❎⚙⚜➡️17 aja lee.,hadiah lipat ganda cuman 917 aja lee,0
Cuma 3menu habis setengah juta. Mana laku dijual disini,3menu habis juta laku jual,0
Cool ☕,cool,0
"Miris memang.. TKI yg ke cina mesti belajar bahasa cina, eh giliran cina itu buka pabrik disini, tetep aja mesti belajar bahasa cina",miris tki yg cina mesti ajar bahasa cina eh gilir cina buka pabrik tetep aja mesti ajar bahasa cina,0
Bobon mualaf apakah masih boleh minum amer Orang Tua?,bobon mualaf minum amer orang tua,0
gila sih ̠A͎͎L͎͎E͎͎X͎͎I͎͎S͎͎1͎͎7͎ ternyata seseru ini!.,gila sih alexis17 nyata seru,1
Undang BoBoN biar bobon gak terlalu stress karna konten Masak willi Salim lbih laku dri konten masak nya dia Wkwkwkkw😂,undang bobon biar bobon gak stress karna konten masak willi salim lbih laku dri konten masak nya wkwkwkkw,0
Malah velocity 😭🤣🤣🤟🫰,velocity,0
♓☦⛅‍♀⛪☂️17 gk pelit sama bonus.,17 gk pelit bonus,0
Next login❤,next login,0
"ngeliat next carlos rifiew dari dulu selalu enak banget ke feal nya beda aja dari yang lain bener"" puree sesuai sama apa yang dimakan 💙",ngeliat next carlos rifiew enak banget feal nya beda aja bener puree sesuai makan,0
"Liat nex carlos makan mie kaya lagi ngelawak, berasa bayi tua..😂",liat nex carlos makan mie kaya ngelawak asa bayi tua,0
Aku udah coba semua tapi tetep ✌⚧❕☎⚜♋✔17✌ aja yang buat aku betah.,udah coba tetep 17 aja betah,0
Goblok goblok goblok😂😂😂😂😂😂,goblok goblok goblok,0
Bobon tambah viral donk kan mualaf😂😂,bobon viral donk mualaf,0
JANGAN JUAL YESUS!!!!,jual yesus,0
Emang bobon gak bisa bahasa Mandarin?,emang bobon gak bahasa mandarin,0
Sumpah banyak banget benefit ⚾ⓂⓂ⛽⛳⏯17.,sumpah banget benefit 17,0
Proses cepat??? ⛔⛅✍⚙☄⛑17 jagonya say.,proses cepat 17 jago say,0
🚀,,0
Dia yg harusnya belajarrr... 🤣🤣😎,yg belajarrr,0
"𝐀𝐗𝐋𝟩𝟩𝟩 gua cba, saldo lngsg naik banyak",gua cba saldo lngsg,0
"𝐀𝐗𝐋𝟩𝟩𝟩 gua coba main, saldo lgnsung nambah 3x lipat",gua coba main saldo lgnsung nambah 3x lipat,1
"𝐀𝐗𝐋𝟩𝟩𝟩 gua bru main bentar, saldo lgnsung nambah",gua bru main bentar saldo lgnsung nambah,1
"𝐀𝐗𝐋𝟩𝟩𝟩 gua cba2, saldo lgnsung nambah banyak",gua cba2 saldo lgnsung nambah,0
"𝐀𝐗𝐋𝟩𝟩𝟩 tiap main pasti jackpot, gue gak ngerti lagi",main jackpot gue gak ngerti,1
"Jakpot besar banget di 𝐀𝐗𝐋𝟩𝟩𝟩, recommended banget buat yang cari hiburan!",jakpot banget recommended banget cari hibur,1
"𝐀𝐗𝐋𝟩𝟩𝟩 bru main bentar, gua udah dapet jackpot",bru main bentar gua udah dapet jackpot,1
𝐀𝐗𝐋𝟩𝟩𝟩 aku slalu hoki bgt kalo maen dsini,slalu hoki bgt kalo maen dsini,1
kalo lagi senyum kaya liat JACKIE CHAN yaa 🤣🤣,kalo senyum kaya liat jackie chan yaa,0
Ancouurr...😂😂😂,ancouurr,0
Wahh enak2 menunya😊,wahh enak2 menu,0
Cukup setia aja di ̠A͎͎L͎͎E͎͎X͎͎I͎͎S͎͎1͎͎7͎.,setia aja alexis17,1
Next + bobon = pecah abissss😂😂😂,next bobon pecah abissss,0
Buset ini serius skketer zeus di ✌⏸⚡‼☄⛽♓17✌ dapat 5???.,buset serius skketer zeus 17 5,0
Domba yg tersesat 😂,domba yg sesat,0
Worth it la bisa makan buat 5 org ituh.,worth it la makan 5 org ituh,0
Merasa sangat senang mendapatkan rezeki yang berkah dari 𝐀𝐗𝐋𝟩𝟩𝟩!,senang rezeki berkah,1
"𝐀𝐗𝐋𝟩𝟩𝟩 aku cuma cba bentar, hasilnya luar biasa",cba bentar hasil,0
Ratu princess selalu terbaik di ❎⏏♑☎♑✈️17.,ratu princess 17,0
"Main di 𝐀𝐗𝐋𝟩𝟩𝟩 bikin hidup makin berwarna warni, rezeki datang silih berganti tak henti-henti!",main bikin hidup warna warni rezeki silih ganti hentihenti,1
"𝐀𝐗𝐋𝟩𝟩𝟩 gak usah banyak mikir, lngsg coba aja",gak mikir lngsg coba aja,0
Semoga rezeki dari 𝐀𝐗𝐋𝟩𝟩𝟩 membawa kebaikan bagi semua!,moga rezeki bawa,1
"𝐀𝐗𝐋𝟩𝟩𝟩 tiap maen pasti jackpot, gue gk ngerti lagi",maen jackpot gue gk ngerti,1
"JP non-stop di 𝐀𝐗𝐋𝟩𝟩𝟩, lagi gacor banget nih!",jp nonstop gacor banget nih,1
Sumpah penasaran banget kenapa pada bahas ⛹‍♂☎⏭♋‼➡️17 di kolom komentar ?.,sumpah penasaran banget bahas 17 kolom komentar,0
"𝐀𝐗𝐋𝟩𝟩𝟩 jackpot terus, tempat ini emang beda",jackpot emang beda,1
Siapa sih di balik ✌1⃣⏯❌♎‍♀⚛17✌??The best banget.,sih 117the best banget,0
Gokil banget updatean terbaru ♋♓♋☦⛓⛹️17.,gokil banget updatean 17,0
"Bobon mungkin lupa punya nama ada Santo nya , yang mana di dunia kristen nama Santo amat sangat istimewa sekali.",bobon lupa nama santo nya dunia kristen nama santo istimewa,0
Owner nya kocak cuy 😂,owner nya kocak cuy,0
Rasanya pingin jadi penerjemah nya nex carlos 😂😂😂 biar g pake translate lagi 😂😂😂,pingin terjemah nya nex carlos biar g pake translate,0
Colabs yang keren banget mamen,colabs keren banget mamen,0
MOKEL : monyet kelaparan 😅,mokel monyet lapar,0
Wkwkk bobon cari korban selanjutnya,wkwkk bobon cari korban,0
"ubur ubur ikan lele, ☔‍⚖✋⏬▶⁉️17 nih lee!.",ubur ubur ikan lele 17 nih lee,0
Temen gua semuanya pake ̠A͎͎L͎͎E͎͎X͎͎I͎͎S͎͎1͎͎7͎.,temen gua pake alexis17,1
"Kalau saya sendiri jujur selamanya gak akan PERNAH mau jadi MUALAF ,,ingatttttt!!!",jujur gak mualaf ingatttttt,0
Edisi china kw ketemu yg ori... 😁😁😁😁,edisi china kw ketemu yg ori,0
"Dolab terus ko , sesama kalimantan😂",dolab ko kalimantan,0
Lan cai 😅.. muantaaaabs nih Koko semoga sukses selalu dlm segala hal 🤲,lan cai muantaaaabs nih koko moga sukses dlm,0
Yg ngikutin next dr dulu sm bobon dan adiknya bobon kumpul 😅😂,yg ngikutin next dr sm bobon adik bobon kumpul,0
Harganya bikin kaget 😢,harga bikin kaget,0
"mungkin ada yang muallaf karena memang panggilan hati, mungkin ada juga yang muallaf supaya menarik simpati mayoritas umat Islam di Indonesia.

ujung-ujungnya mungkin biar orderan job jalan terus, perusahaan berkembang, channel YT tambah banyak subscriber.

ujung-ujungnya mungkin hanya E.K.O.N.O.M.I

se-simple itu.",muallaf panggil hati muallaf tarik simpati mayoritas umat islam indonesia ujungujungnya biar order job jalan usaha kembang channel yt subscriber ujungujungnya ekonomi sesimple,0
Langsung subscribe karena bang bobon👌,langsung subscribe bang bobon,0
✌1⃣⏺✝‍♂⬇⚜17✌ udah pasti yang terbaik!.,117 udah,0
Sedih?↔♍☂♠⌚✨17 akan membuat bahagia.,sedih17 bahagia,0
Ini pada kenapa dah? Seluruh dunia juga ada muslim. Kenapa memperlakukan org asing muslim kayak alien? 😅😅,dah dunia muslim laku org asing muslim kayak alien,0
Setelah sekian lama menanti Akhirnya 2 Konten Kreator Panutan Gua Colab,sekian 2 konten kreator panutan gua colab,0
Gokil banget dah di ♥♑⛰⚪⁉✨17.,gokil banget dah 17,0
Duo yotuber yg di orbitkan sama ric snt adik bobon santoso....,duo yotuber yg orbit ric snt adik bobon santoso,0
"Aku selama ini main di █▓▒▒░░░☠♨⚪ℹ↩✌️17░░░▒▒▓█ selalu win, terbaik!.",main 17 win,1
9:16 kocak parah😂😂😂,916 kocak parah,0
kenapa gk puasa kang bobon klo memang bener mualaf 🤔,gk puasa kang bobon klo bener mualaf,0
tidak mudah untuk mualaf untuk puasa rutin karena butuh penyesuaian...yang lebih sedih muslim dari lahir ada juga yang tidak puasa,mudah mualaf puasa rutin butuh penyesuaianyang sedih muslim lahir puasa,0
Bagus bagus,bagus bagus,0
Bobon plus Nex .. meledakkkk 😂😂,bobon plus nex meledakkkk,0
"Coba deh konten nya tanpa bawa2 kepercayaan, dan kaga usah ngajak2 kelesss, maap agak kampungan",coba deh konten nya bawa2 percaya kaga ngajak2 kelesss maap kampung,0
Log In cuy 😂,log in cuy,0
Bagus chemistry nya nih duet berdua... lanjutkaaan🎉,bagus chemistry nya nih duet lanjutkaaan,0
Koko agama bukan Brng main2 Jgan ikut dia demi karir pndh agama snggat miris,koko agama brng main2 jgan karir pndh agama snggat miris,1
Lah bukannya bobon sendiri bingung kok sampe bisa login ditempat densu,bobon bingung sampe login densu,0
yang setuju Nex Carlos bandarin bobon masak bueeeeeesarrrrr!,tuju nex carlos bandarin bobon masak bueeeeeesarrrrr,0
Velocity😂😂😂,velocity,0
Mantab koq Nex bareng ko bon bon👍👍👍,mantab koq nex bareng ko bon bon,0
"Yg beli kocak, karyawannya kocak juga ceplas ceplos aja. Untung ga paham bos ente😂",yg beli kocak karyawannya kocak ceplas ceplos aja untung ga paham bos ente,1
Chindo ketemu china ori dari negeri asalnya malah bingung wkwkwk,chindo ketemu china ori negeri bingung wkwkwk,0
duo chino palsu lagi berusaha jadi china beneran hahaha,duo chino palsu usaha china beneran hahaha,0
Bib oh habib jafar tolong liat ini bib bobon mokel ama nex carlos bib😅😅😅😅,bib oh habib jafar tolong liat bib bobon mokel ama nex carlos bib,0
"Bon... bon... Udah mentok bon😂?, bakal makin sukses Si bobon seperti dedy combantrine. Amin",bon bon udah mentok bon sukses si bobon dedy combantrine amin,0
Dibalik suksesnya next carlos sekarang ada keluarga bobon santoso yg berperan dibaliknya dulu yaitu adiknya bobon ialah ric santoso waktu perjalanan keliling Indonesia dulu kontennya,sukses next carlos keluarga bobon santoso yg peran adik bobon ric santoso jalan keliling indonesia konten,0
🤍🤍🤍🤍,,0
Bangku ambruk adalah iconik 😂😂,bangku ambruk iconik,0
siapa ya ? gue ahli surga 😁😁😁😁,ya gue ahli surga,0
"Tambah banyak Pengikutnya
Misal Sampek login nex",sampek login nex,0
Bobon gokil 😂😂😊,bobon gokil,0
"Wakakaka kocak banget makan bareng sama bang bobon keren, kocak en lucu nice sering2 deh kolab bareng😄
Sukses terus buat nex carlos en bobon santoso en saya doakan sehat terus sekeluarga amin😇",wakakaka kocak banget makan bareng bang bobon keren kocak en lucu nice sering2 deh kolab bareng sukses nex carlos en bobon santoso en doa sehat keluarga amin,0
"Nonton Nex dulu pertama ngerintis YouTube sama adeknya Bobon, si Ric, sekarang sama abangnya haha.",nonton nex ngerintis youtube adeknya bobon si ric abang haha,0
"Jaman si nex masih ngegembel ikut"" channel org😅, sempet ikut food floger yg berdua itu, lupa gw namanya",jaman si nex ngegembel channel org sempet food floger yg lupa gw nama,0
yang sampai naik mobil pick up ya? ​@@Halhal_69,mobil pick up ya halhal 69,0
"​@@Halhal_69itu kan udh di komen di atas ""adeknya bobon, Ric""",halhal 69itu udh komen adeknya bobon ric,0
"Maaf nih, Riki itu abangnya bobon bro.. dan pertama nongol di YouTube itu kalo ga salah yg makan nasi goreng di sumatera barat sama Riki sama cewe 1 lagi lupa namanya",maaf nih riki abang bobon bro nongol youtube kalo ga salah yg makan nasi goreng sumatera barat riki cewe 1 lupa nama,0
"​@@mugiwara-k3jSotoy luu. coba situ cross check dlu, Tahun lahir bobon sama riki mana yg lebih tua🤣🤪",mugiwarak3jsotoy luu coba situ cross check dlu lahir bobon riki yg tua,0
"Dikit dikit login, dikit dikit login 😂😂",dikit dikit login dikit dikit login,0
jangan salah sebutt lancau sama rancau..😂😂😂,salah sebutt lancau rancau,0
"Info Mokel ( Momen Kelaparan, atau bisa juga Monyet Kelaparan).",info mokel momen lapar monyet lapar,0
6:42 = Ekspresinya Bobon bikin ngakak... 😂,642 ekspresi bobon bikin ngakak,0
Sotoy loh koh bukan daun basil mn bisa Masakk Vietnam PK daun basil yg ada daun ketumbar tau koh Vietnam Thailand Kamboja identik daun ketumbar  tuh koh cb sercing aja tuh daun ketumbar d sebut jg wansui gtu,sotoy loh koh daun basil mn masakk vietnam pk daun basil yg daun ketumbar tau koh vietnam thailand kamboja identik daun ketumbar tuh koh cb sercing aja tuh daun ketumbar d jg wansui gtu,0
Akhirnya bersatu cuy,cuy,0
baru kali ini liat video l koh nex full ngakak 😂,kali liat video l koh nex full ngakak,0
Orang tasik hadir hayang nyobaan euy koh..,orang tasik hadir hayang nyobaan euy koh,0
Lihat koh next Ama istri sutink mkn mie ayam daerah pik,lihat koh next ama istri sutink mkn mie ayam daerah pik,0
Ya Allah berikanlah hidayah ne next Carlos,ya allah hidayah ne next carlos,0
𝐌𝐢𝐘𝐚𝟖𝟖🌈! Gabung sekarang dan mainkan keseruannya! Buktikan sendiri keseruannya!,gabung main seru bukti seru,1
𝐌𝐢𝐘𝐚𝟖𝟖🌈 bikin hari jadi semangat gara-gara petirnya!,bikin semangat garagara petir,0
Fix! Gak ada yang lebih gampang dari menang di 𝐌𝐢𝐘𝐚𝟖𝟖🌈!,fix gak gampang menang,1
Waktunya bersenang-senang di 𝐌𝐢𝐘𝐚𝟖𝟖🌈! Saatnya naik level dengan pengalaman terbaik!,bersenangsenang level alam,0
"Tadi iseng banget masukin, 𝐌𝐢𝐘𝐚𝟖𝟖🌈 beneran kasih lebih!",iseng banget masukin beneran kasih,0
Sahur sambil main 𝐊𝐨𝐢𝐒𝐋𝐎𝐓🌈? Sensasinya luar biasa bro!,sahur main sensasi bro,1
tempat langganan nih,langgan nih,0
Jadi laper cuy,laper cuy,0
Kasih sate babi aja,kasih sate babi aja,0
Editor puyeng wkwkwkwkkw,editor puyeng wkwkwkwkkw,0
Episode terngakak😂😂😂,episode terngakak,0
Next collab sama abangnya bobon koh 😂 kangen deh sama KIG ❤,next collab abang bobon koh kangen deh kig,0
kpn login bang nex,kpn login bang nex,0
Wkkwkw pas bagian terbang ngakak bgtt menit ke 18:25 diulang2 terus 🤣,wkkwkw pas terbang ngakak bgtt menit 1825 diulang2,0
Vilocity pro pas mukbang😂😂😂😂,vilocity pro pas mukbang,0
Saya tau next carlos dari riki abang bobon waktu keliling indonesia.,tau next carlos riki abang bobon keliling indonesia,0
"Asli mmng bobon membuat suasana menjadi hidup, lucu pas pelocity. Wkwk",asli mmng bobon suasana hidup lucu pas pelocity wkwk,0
Hahahah seru dan mnghibur,hahahah seru mnghibur,0
Bonbon GK ada obat,bonbon gk obat,0
Next kok ngga berdoa sebelum mkn jgn ikut2 bonbon yg salah gaul.,next ngga doa mkn jgn ikut2 bonbon yg salah gaul,0
kocak bobon 😂 sering sering koh collab sama bobon,kocak bobon koh collab bobon,0
Kolaborasi anak pontianak dan singkawang 🤣,kolaborasi anak pontianak singkawang,0
Demi konten rela jual agama😮munafik cuan 😂,konten rela jual agamamunafik cuan,1
Pemiliknya telponan sama bininya KENCENG BANGET suaranya 😂😂😂😂😂,milik telpon bini kenceng banget suara,0
"Ketawa terus liat konten ini🤣🤣🤣,semoga restaurant nya makin laris manis ya koh Jamali 🫰🫰,sukses buat semuanya.🫰🫰",ketawa liat konten inisemoga restaurant nya laris manis ya koh jamal sukses,0
Senggol tipis aja koh 😂,senggol tipis aja koh,0
"Dua2nya. super lucu,super kocak....sering2 Nex sama Bobon.Tuhan Yesus Kristus Memberkati,kalian berdua serta keluarga,makin sukses",dua2nya super lucusuper kocaksering2 nex bobontuhan yesus kristus memberkatikalian keluargamakin sukses,0
Pasih bgt,pasih bgt,0
Collab sama orang gokil ini ko 😂,collab orang gokil ko,0
"Galak Asuk Ma ini 😂 gw udah makan banyak sejuta lebih masih diusir 😂 ada cabang nya koq di MOI Kelapa Gading, depan Lobby 5. Keponakannya Idris namanya hopeng gw. Bahasa Indonesianya udah lancar",galak asuk ma gw udah makan juta usir cabang nya koq moi kelapa gading lobby 5 keponakan idris nama hopeng gw bahasa indonesia udah lancar,0
Anjiirrr lah kalau ada yg ngeh bobon disini bobon banyak nyindir nyindir konten kreator yg bgsd bnget😅😅,anjiirrr yg ngeh bobon bobon nyindir nyindir konten kreator yg bgsd bnget,0
😂velocity😂,velocity,0
"Ya Allah ngakak 😂😂, dari awal sampai akhir ga berenti ketawa🤣🤣",ya allah ngakak ga renti ketawa,0
"Lu berdua Casing Tiongkok, Inside Indonesia🇲🇨 👍👍👍🇲🇨",lu casing tiongkok inside indonesia,0
wanjay kolab BoNex....... 🤣🤣🤣🤣🤣🤣🤣🤣,wanjay kolab bonex,0
Episode tergokil,episode tergokil,0
Ingin 24jt subskrebers syaratnya harus mualap,24jt subskrebers syarat mualap,0
Baru tau Bobon Muslim 😅 kirain dia kristen 🙏🏻,tau bobon muslim kirain kristen,0
3:50 coi,350 coi,0
